group;d_carbon;d_nitrogen;shelf;cluster_k2;cluster_k3;LME;LONG;MEOW_PROV;MEOW_ECO
Moleques;-17.3518626447445;14.1855748;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.7331613417096;14.3122564;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.7090801398017;13.2295246;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.8802606573077;14.1400486;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-17.0683345217317;14.1440074;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-17.0797249754938;14.112337;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-17.251413160711;14.3023594;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.9851013943134;13.8896545;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.992223321595;14.6734969;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.9129653848662;13.8144373;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.8536336093887;14.1885439;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.8357406476729;14.0776975;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-17.0756520445177;14.3043388;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.9067350850944;14.0212846;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-17.3755293397469;14.0668108;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-17.0875974657187;14.1608323;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-16.5473742049398;14.3805457;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Moleques;-17.2075145867312;14.1212443;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-16.8056477362596;13.0355434;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-18.2016063894959;12.8494798;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.687128498345;12.8672944;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-18.1570151578203;12.7980154;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.9061074064029;12.865315;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.9304600427101;13.4551762;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.5542345064483;13.2037924;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.841794817905;12.6653956;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.3341370532755;13.1938954;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.6488772813726;12.2457628;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.8612187330555;12.9019339;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.435154803848;12.8534386;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-18.061264068065;13.2245761;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.3571644562588;13.2898963;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.895926176211;13.5531565;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-16.7151299304575;12.4634968;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.7365257646694;13.7085394;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.9487068748437;13.4175676;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.0036081326346;13.2740611;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-18.209546270393;13.0009039;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.7990849502833;13.1483692;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.9186103594768;12.7742626;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.0855333063052;12.578302;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-18.0272676481115;12.7455613;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.4659364654865;13.0761211;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.7801485605856;13.3760002;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Cagarras;-17.664738154339;13.1998336;sim;outros;costeiro;SBS15;BRAZ;WTSA;WTSA180
Santana;-17.14704;14.16865;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.22965;14.19249;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.16172;14.15804;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.24240;14.31042;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.23329;14.36320;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.07861;14.56054;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.30364;14.34809;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.43034;14.22620;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.74301;14.01260;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.41101;14.24349;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.44515;14.31564;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.38456;14.58851;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.46792;14.18878;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.61365;14.18835;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.61856;13.87077;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.46954;14.32007;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.44217;14.23433;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.53002;14.12114;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.63666;13.40976;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.83509;13.98729;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.16623;14.17038;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.06390;14.09718;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.93950;14.36966;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.90864;14.23163;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.23135;14.18489;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.74777;14.43092;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.16405;14.01720;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.17352;13.62735;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.96401;14.22172;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.89573;14.03839;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.34722;13.43301;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.19165;14.35861;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.33190;14.27668;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.65391;14.02468;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.38637;14.31042;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.42684;13.97075;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.41488;14.01720;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.68006;14.70106;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.15724;14.28684;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.33795;14.04363;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.46579;14.37648;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.89198;14.08956;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.58094;14.34476;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.96218;13.86911;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.70321;13.81947;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.57614;14.65207;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.79321;13.94770;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.85057;13.95532;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.85994;14.17682;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.95535;14.08147;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.80142;14.50640;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.57533;14.80159;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.76901;14.31772;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.95426;14.34615;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.07352;13.90709;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.85544;14.64391;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-17.06456;14.39216;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.86588;14.42872;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
Santana;-16.96754;14.41384;sim;outros;costeiro;SBS15;BRAZ;TSA;TSA76
