iso1;iso2;group;community
-17.3518626447445;14.1855748;Moleques;1
-16.7331613417096;14.3122564;Moleques;1
-16.7090801398017;13.2295246;Moleques;1
-16.8802606573077;14.1400486;Moleques;1
-17.0683345217317;14.1440074;Moleques;1
-17.0797249754938;14.112337;Moleques;1
-17.251413160711;14.3023594;Moleques;1
-16.9851013943134;13.8896545;Moleques;1
-16.992223321595;14.6734969;Moleques;1
-16.9129653848662;13.8144373;Moleques;1
-16.8536336093887;14.1885439;Moleques;1
-16.8357406476729;14.0776975;Moleques;1
-17.0756520445177;14.3043388;Moleques;1
-16.9067350850944;14.0212846;Moleques;1
-17.3755293397469;14.0668108;Moleques;1
-17.0875974657187;14.1608323;Moleques;1
-16.5473742049398;14.3805457;Moleques;1
-17.2075145867312;14.1212443;Moleques;1
-16.8056477362596;13.0355434;Cagarras;1
-18.2016063894959;12.8494798;Cagarras;1
-17.687128498345;12.8672944;Cagarras;1
-18.1570151578203;12.7980154;Cagarras;1
-17.9061074064029;12.865315;Cagarras;1
-17.9304600427101;13.4551762;Cagarras;1
-17.5542345064483;13.2037924;Cagarras;1
-17.841794817905;12.6653956;Cagarras;1
-17.3341370532755;13.1938954;Cagarras;1
-17.6488772813726;12.2457628;Cagarras;1
-17.8612187330555;12.9019339;Cagarras;1
-17.435154803848;12.8534386;Cagarras;1
-18.061264068065;13.2245761;Cagarras;1
-17.3571644562588;13.2898963;Cagarras;1
-17.895926176211;13.5531565;Cagarras;1
-16.7151299304575;12.4634968;Cagarras;1
-17.7365257646694;13.7085394;Cagarras;1
-17.9487068748437;13.4175676;Cagarras;1
-17.0036081326346;13.2740611;Cagarras;1
-18.209546270393;13.0009039;Cagarras;1
-17.7990849502833;13.1483692;Cagarras;1
-17.9186103594768;12.7742626;Cagarras;1
-17.0855333063052;12.578302;Cagarras;1
-18.0272676481115;12.7455613;Cagarras;1
-17.4659364654865;13.0761211;Cagarras;1
-17.7801485605856;13.3760002;Cagarras;1
-17.664738154339;13.1998336;Cagarras;1
-17.14704;14.16865;Santana;1
-17.22965;14.19249;Santana;1
-17.16172;14.15804;Santana;1
-17.24240;14.31042;Santana;1
-17.23329;14.36320;Santana;1
-17.07861;14.56054;Santana;1
-17.30364;14.34809;Santana;1
-17.43034;14.22620;Santana;1
-17.74301;14.01260;Santana;1
-17.41101;14.24349;Santana;1
-17.44515;14.31564;Santana;1
-17.38456;14.58851;Santana;1
-17.46792;14.18878;Santana;1
-17.61365;14.18835;Santana;1
-17.61856;13.87077;Santana;1
-17.46954;14.32007;Santana;1
-17.44217;14.23433;Santana;1
-17.53002;14.12114;Santana;1
-17.63666;13.40976;Santana;1
-17.83509;13.98729;Santana;1
-17.16623;14.17038;Santana;1
-17.06390;14.09718;Santana;1
-16.93950;14.36966;Santana;1
-16.90864;14.23163;Santana;1
-17.23135;14.18489;Santana;1
-16.74777;14.43092;Santana;1
-17.16405;14.01720;Santana;1
-17.17352;13.62735;Santana;1
-16.96401;14.22172;Santana;1
-16.89573;14.03839;Santana;1
-17.34722;13.43301;Santana;1
-17.19165;14.35861;Santana;1
-17.33190;14.27668;Santana;1
-17.65391;14.02468;Santana;1
-17.38637;14.31042;Santana;1
-17.42684;13.97075;Santana;1
-17.41488;14.01720;Santana;1
-16.68006;14.70106;Santana;1
-17.15724;14.28684;Santana;1
-17.33795;14.04363;Santana;1
-17.46579;14.37648;Santana;1
-17.89198;14.08956;Santana;1
-17.58094;14.34476;Santana;1
-17.96218;13.86911;Santana;1
-17.70321;13.81947;Santana;1
-17.57614;14.65207;Santana;1
-17.79321;13.94770;Santana;1
-17.85057;13.95532;Santana;1
-17.85994;14.17682;Santana;1
