site;author;shelf;cluster_k2;cluster_k3;LME;MEOW_PROV;MEOW_ECO;longhurst;n_reg;Atherinidae_nID;Balistidae_nID;Porichthys_porosissimus;Ablenes_hians;Strongylura_marina;Tylosurus_spp;Bothidae_nID;Brama_brama;Carangidae_nID;Carangoides _bartholomaei;Caranx_sp;Caranx_crysos;Caranx_hippos;Selar_crumenophthalmus;Decapterus_sp;Decapterus_punctatus;Decapterus_tabl;Selene_setapinnis;Selene_vomer;Trachinotus_falcatus;Trachurus_lathami;Clupeiformes_nID;Clupeidae_nID;Brevoortia_pectinata;Harengula_clupeola;Opisthonema_oglinum;Sardinella_aurita;Coryphaena_equiselis;Coryphaena_hippurus;Symphurus_sp;Symphurus_diomedeanus;Symphurus_tessellatus;Dactylopterus_volitans;Chilomycterus_spinosus;Engraulidae _nID;Anchoa_sp;Anchoa_filifera;Anchoa_spinifer;Anchoa_tricolor;Anchoviella_lepidentostole;Cetengraulis_eduntulus;Engraulis_anchoita;Lycengraulis_grossidens;Exocoetidae_nID;Cheilopogon_cyanopterus;Exocoetus_volitans;Hirundichthys_affinis;Parexocoetus_brachypterus;Parexocoetus_hillianus;Prognichthys_gibbifrons;Fistularia_tabacaria;Gempylidae_nID;Gempylus_serpens;Eucinostomus_sp;Eucinostomus_argenteus;Eucinostomus_gula;Haemulidae_nID;Anisotremus_surinamensis;Conodon_nobilis;Haemulon_sp;Orthopristis_rubra;Hemiramphidae_nID;Euleptorhampus_velox;Hemiramphus_spp;Hemiramphus_balao;Hemiramphus_brasiliensis;Hyporhamphus_unifasciatus;Oxyporhamphus_micropterus;Holocentridae_nID;Holocentrus_adscensionis;Loginidae_nID;Doryteuthis_sp;Doryteuthis_plei;Doryteuthis_sanpaulensis;Malacanthus_plumieri;Ranzania_laevis;Mugil_curema;Mugil_liza;Mullus_argentinae;Upeneus_parvus;Nomeidae_nID;Nomeus_gronovii;Ommastrephidae_nID;Ommastrephes_bartramii;Ornithoteuthis_antillarum;Ophidiidae_nID;Raneya_brasiliensis;Paralichthyidae_nID;Etropus_sp;Etropus_longimanus;Percophis_brasiliensis;Urophycis_brasiliensis;Pleuronectiformes_nID;Priacanthus_sp;Priacanthus_arenatus;Chirocentrodon_bleekerianus;Pellona_harroweri;Sciaenidae_nID;Bairdiella_ronchus;Ctenosciaena_gracilicirrhus;Cynoscion_sp;Cynoscion_guatucupa;Cynoscion_jamaicensis;Cynoscion_leiarchus;Cynoscion_microlepidotus;Isopisthus_parvipinis;Larimus_breviceps;Macrodon_ancylodon;Macrodon_atricauda;Menticirrhus_littoralis;Micropogonias_furnieri;Paralonchurus_brasiliensis;Steliffer_sp;Stellifer_brasiliensis;Stellifer_rastrifer;Stellifer_stellifer;Scombridae_nID;Katsuwonus_pelamis;Scomber_japonicus ;Scomberomorus_maculatus;Thunnus_sp;Thunnus_obesus;Diplectrum_formosum;Dules_auriga;Pleoticus_muelleri;Pagrus_pagrus;Peprilus_crenulatus;Saurida_sp;Saurida_brasiliensis;Synodus_foetens;Synodus_intermedius;Trichiurus_lepturus;Prionotus_sp;Prionotus_nudigula;Prionotus_punctatus;Teleostei_nID;Cephalopoda_nID
Moleques;Branco;coastal;Others;Coastal;SBS15;WTSA;WTSA180;BRAZ;257;0;1;55;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;3;35;0;3;0;0;3;8;0;0;0;0;10;0;1;8;0;0;0;0;0;135;2;30;0;0;0;0;0;0;0;1;0;0;0;1;0;5;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;14;18;0;0;16;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;53;0;7;0;64;0;0;0;65;1;0;0;0;9;129;34;1;10;0;0;0;0;0;0;1;1;0;4;0;0;0;0;0;1;18;0;0;2;0;0
Moleques;Kohlrausch;coastal;Others;Coastal;SBS15;WTSA;WTSA180;BRAZ;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;42;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;1;6;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;10;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;4;0
Currais;Krul;coastal;Others;Coastal;SBS15;WTSA;WTSA180;BRAZ;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;24;0;0;0;1;2;30;0;0;0;1;0;0;0;0;0;10;1;1;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;17;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;1;0;1;2;0;1;1;0;1;1;26;0;2;17;1;0;0;0;5;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0
Cagarras;Torres;coastal;Others;Coastal;SBS15;WTSA;WTSA180;BRAZ;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;20;43;0;17;0;0;0;0;0;1;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
Cabo_Frio;Coelho;coastal;Others;Coastal;SBS15;WTSA;WTSA180;BRAZ;81;1;0;53;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;51;0;0;0;14;6;0;0;0;1;0;0;3;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;4;0;0;1;1;0;0;0;0;8;9;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;0;0;0;1;0;0;1;0;0
Santana;Valin;coastal;Others;Coastal;SBS15;TSA;TSA76;BRAZ;54;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;5;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;2;1;2;1;0;1;0;0;93;50;17;0;15;11;37;9;0;0;11;0;0;2;0;2;29;29;0;0;0;0;0;1;0;0;0;0;0;0;4;1;1;1;0;0;10;1;1;0;11;0
Abrolhos;Alves;coastal;Others;Coastal;EBS16;TSA;TSA76;BRAZ;17;0;0;0;2;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Abrolhos;Fest;coastal;Others;Coastal;EBS16;TSA;TSA76;BRAZ;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0
Abrolhos;Mancini;coastal;Others;Coastal;EBS16;TSA;TSA76;BRAZ;19;0;0;0;1;0;0;0;0;1;11;0;0;15;0;0;0;1;0;0;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;11;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4
Noronha;Mancini;oceanic;Others;FN_RO;EBS16;TSA;TSA74;SATL;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
